00626a,a956fb
00113f,aa1af9
001151,3ff226
001153,776bd0
6174b3,45f02f
d69b9c,dee05e
dd4d6f,abe2f4
001150,e97cbe
001138,dffb41
5cd87e,6d71b1
001139,047fe3
4e3fbe,8ff6db
001135,5011a4
001136,8abf67
be96c1,69fdde
4b1006,ce2a9e
00112a,d9e524
ac7443,e991fe
f26bd1,f1e2eb
9a14a2,1e8358
b0aea2,5861ed
00112f,70d452
c6d256,7c1f22
00112c,9c65ac
00112e,db351e
c37e13,71b746
001140,285ed1
001142,b3978c
018aac,064386
001143,c663f9
3ead05,efe1da
e013eb,e6d8b7
3e5d1a,9385f2
eed039,dd0f53
001166,3ada3c
001167,fe143d
3e5d1e,6d3658
001168,fe5be7
b05faa,b1fd10
00115a,07dd3f
00115b,9b370d
00115c,c29ca2
e43f24,e3d4aa
df57e5,9e14a6
bf06a6,b1c4ba
00115e,4394db
3e27ce,d8d4a3
001174,c704dc
001175,d200da
001176,b359c8
001170,b708f5
001171,bcf8dd
001159,d75f37
04072c,eae350
f0d219,e74e24
4bdfdf,15d1e7
001157,a53c8d
001158,b6fea3
c13e52,1c2c7c
00114a,9d1970
00114b,39b959
a1417d,0592d7
3774bf,df363e
586c85,33d6a2
245889,af7e63
01a768,c47db2
00114e,b48a51
00114f,92b3e8
4a169c,73b30b
001163,4e3a28
001165,d6095c
200d03,5a8d3f
f57226,ed4420
001161,207d7d
30cb75,683ac4
001104,350a18
381a43,2328be
001105,fe4b33
97dd30,5adae3
001107,d1d5ab
001101,4bb9d9
001102,0ee9d6
76e6a6,020add
aeadbd,461f20
eed04e,f5fe41
001108,14d344
001109,e6db0c
088723,bce056
b36514,d152b3
d915d8,ef6480
feb3d2,9ed317
e98452,772a42
3f225d,47be64
37c4be,8d3eb2
a38199,36c230
2b3ea6,950417
f7aba8,71ab8c
4af04f,0c8083
50e896,a0900c
b12554,8d3d6c
d1c70a,22dff4
307b9a,fb5285
d665fc,550d82
200d27,20313d
478dc4,3be1c5
001126,bd41a6
001127,b44e3b
001129,e1011a
454dd6,4b28f9
25a20e,c5a379
001122,9e9159
001124,19192a
b12561,d8db0f
8a30e4,043d62
c20391,b22592
7ae9c5,2944f5
c5d7b7,436b36
0b4403,8fede1
00111b,77405e
015764,3fe4c4
00111c,f965ad
f23843,916191
d8f5b2,63f6e6
cd353e,a3eeb3
001115,13446b
001116,968f30
001118,a4f62b
001112,2fe4fc
4269a3,2541de
c4433f,1f0548
9757d3,8b64ac
001119,642529
82d549,2500ca
00110d,19afbc
ebcaac,25a102
4ee617,fbb9bf
4e9648,a08bbc
00110a,a461aa
00110b,8a6ea5
00110c,a74cb9
aeadc6,820cbb
001120,814e5c
001121,10263a
f4fbea,829996
905cb9,24a88d
e6cde9,5d3117
25a26b,824d9f
df5917,1e2584
fbaf90,e65b61
064793,0e3f18
6d65a1,1c42fa
0ace75,140322
d21b85,125067
db6307,37599c
b3652b,314d52
1db765,fcf368
a286ce,21f4bf
6b25ab,c929bb
74dc68,af0e4f
2457b0,9d446d
c86d02,caa8c6
332b03,f8059f
65eeee,058318
97dd52,2be8c7
04e129,f6d2a2
e1df05,0b6aa8
509804,4a1e4e
db632d,640403
1c2156,f85684
25526c,2b82c1
c1e32e,28bc79
d69b41,2a734f
1db746,5bd80e
41248a,6299bf
9ee54e,0d78e2
513c96,699c6c
bd50f6,09089b
0f38f2,da47c4
064762,b10716
001189,2b073f
74a6d4,6ebf91
00117c,a2d092
00117d,700edf
5440d6,16d86a
b3b570,3670d9
00117a,fc2c48
807a21,1c534b
00117b,c3314d
621a33,d82482
b61555,58db32
001190,f8269b
cf756f,b5c62b
001195,70606e
3cc1a4,d246d0
1c2177,c4ccdd
001196,ecf2cb
001198,039f5d
001191,f8edc6
001192,495e47
001193,3158ac
cfc549,9070c0
0d2e22,237f93
00116c,aa3445
00116a,3dc4b6
93b308,aa08da
001185,7b995d
001186,070a3e
80ca03,d8dd0e
001181,7f4b19
1ff74e,c507e3
99e7b8,0e3fab
807a2a,76c949
80ca07,f32ad8
338073,6aed47
4da05e,7eabd8
797ae7,df6b8f
00119e,f0192f
00119f,68dced
e92da9,823419
4f904c,044894
00119b,8c07a5
6eb00c,fcb0fe
cb2a0a,c86016
3bfd85,46eb64
a81aec,642616
36ffbf,e79276
724c97,660cf9
165f94,736232
6eb003,16c724
001199,25a863
f4784e,0ef4d1
a87145,123f09
190f34,072569
00118d,37c1e2
00118e,11db4c
279287,f514b6
00118f,28c64d
00118a,25d5d9
f08298,da4631
00118c,03264d
797af1,1f0697
99e7d6,ee1d15
297bd4,8d09d6
1723ae,c4bb07
064720,3a1ff8
004fe8,3d0cc3
82389f,78f099
01161a,f26588
004fe6,d1b785
1579ab,b7b5b8
004fe3,d1a77a
616e3d,8926a4
01161c,7a6685
087a45,172fec
8c2613,2c326c
00f618,b0eb3d
9c3f65,9dde07
00f614,3c0b20
226343,d81f30
d74cb4,14ea8d
004fdf,80ef05
1f688a,3b7966
011626,17ac15
32cc4d,301af2
011627,0ea887
5f7427,104010
61be30,4eed65
011628,80cb74
004fd6,d01d7b
01160e,00be31
00f606,8ea72a
9a53c6,5b232b
a5faee,f3a9b0
c1cf7f,19f810
004fce,6da24a
c66f3a,112887
011612,1afa05
b8e4de,449f47
d49cf1,a7c429
011613,8e8381
84fba0,b424f3
0cce99,a28bb6
011618,edf0b4
b09fee,5149fe
e400aa,f8af1f
01163c,080b99
e30805,be638d
00f637,cb284f
8a7007,b01547
01163e,6d9d25
01163f,26a606
9e7f08,1798f3
00f634,00fbd4
d9590f,7127a3
34d6f4,9b26fc
004fff,3ba127
011644,ebf37f
98908c,ef30f4
011642,331d83
011648,ddc279
0f2e75,dc2187
00f61b,586b1d
851bba,f60644
9aa3a0,29707f
826bad,0d0902
00f627,843355
00f628,318a72
011630,0547b0
b09fe3,d6d4db
011633,fdab07
011634,942e4f
c17f9f,ae55e6
011637,e80ee4
21ece6,38380b
011635,dc4713
7888b7,dba860
6f57f7,d1b305
004fa1,540874
ea44c4,82eb7c
ea44c5,659b01
45b620,db10e7
7e2ad1,57364b
71a8ac,a304f2
76ce29,008ab1
6d4d4a,1d01c7
dc1784,cf230e
5789ec,95ef02
582f2b,c2bdda
a5c771,77319e
515534,1e865f
9ce49e,882cbd
63fe28,62616e
50def3,b4dab6
641e58,6e19f0
6b61da,afac2c
e08bbf,c9fcf0
9805d4,1cc9d9
51a506,9e903c
004fc2,b7593f
450ffe,a1d624
1afd34,9abcca
004fbf,9986a7
48f027,19b3a0
0e88f2,eead12
d3233a,c1f613
004fbc,269dfd
004fd0,d33aea
011603,920b91
5fc454,cfc3dd
011606,3fe713
011607,216b6b
dab143,38a6ff
7b46c2,5a6213
bd3e75,ec9262
9be9a6,fc2b48
038a5f,34c950
48f034,a02582
004faf,6c64f7
077fac,17d6e6
3580ed,d205db
004fc0,5a5c17
bd92b4,c1ac63
76ce64,22ea3f
0ed8d3,e894b9
7e2afe,a42da7
8eea05,948450
01169e,fe1819
6b0d44,0fc887
00f68f,edbea8
983b7c,6eeb38
a576e5,0611ce
c973b6,c3f9f2
00f698,6fb679
85c25e,2e40a2
bd9414,ba8659
00f690,825235
92f721,8a0f2a
01168d,7eaf2f
01168e,fc5c52
290997,e54cbd
05e4a3,308416
6ab7d3,ac8681
00f67a,124f54
01168f,be2579
aac51a,f9eb5a
63fcd7,6e3f34
f62631,e6c2e1
7742a9,abbd4d
00f688,8accac
00f689,227176
011696,55ab44
5153d8,9f15c6
011693,401f9e
00f680,63489a
011699,1da0a9
011698,785d0e
0e88a6,4613aa
0c48b3,eb9d9d
c17f04,2410e5
c9c3b9,b05015
798309,7c1892
882262,b8717c
3830e3,93b830
268ce9,627581
2b8abd,af1d63
45ea87,69da29
57d9c6,0dee39
983b5c,901d7a
251350,ffb82e
95db6f,155094
ad2514,41e10d
2b5782,a429ee
c733fc,fd18a9
2168bb,f6051b
6a9d5f,07ee74
5a47c3,3bef87
d98d46,32d5f3
407647,e1ae06
432647,11081f
dab189,1b72f8
fb2438,3a46be
4eddcb,683a68
4814ea,b9de48
2a1151,b54d85
badde2,fa95db
d46959,46f891
02101a,19a91c
3ec4c7,22b9f6
909af9,4743a3
5a7d01,43df12
6b61a7,7cff96
798326,9e91c8
c24492,801ef4
01165b,5687c1
00f64b,e4b80a
a6c17c,d42021
00f64c,dc9ce7
01165e,063c55
01165f,56f578
a9215e,e03010
f7efd5,193eb3
00f655,d70c23
5b4291,c423a5
011670,214f0b
011662,ea4ae5
b6a68a,18dc01
f8b611,f22ba3
c9c3e5,37f74c
34879a,0455ef
e1a0b6,e2bd9c
011668,e99839
64c363,837b85
6bb28b,e6adea
85722e,bca6e2
f16b48,b3ca86
cb3908,1681a1
01164a,08dfc8
9e49fc,ebc828
00f63a,ce9616
9e49fd,3e049c
289961,68a9ea
f7efe3,cf002b
01164b,98b565
45ea75,5be09d
b4f05d,1a44b7
00f646,102a30
011659,f03f6f
484a38,732f1f
7a018a,00ea16
3cba07,398eab
00f62d,5b0570
00f66b,e79855
00f66c,d32f35
01167b,b09719
327afa,0892c9
73e8f5,503f8a
01167e,f17693
b89660,5b2766
00f66a,f730c1
01167f,9ff32f
00f678,c992a0
011692,927aa0
00f674,085a5e
011682,3c54b2
e8814c,b37c10
011683,82464c
011689,14842f
011686,d33201
802d4a,61a6c7
1bc23c,efcf46
01166b,720bb5
01166c,2cad16
1433e2,4f987e
01166f,3574fa
a9214b,ad57fd
b165d6,13fb47
01166e,77c5dd
0c48ce,a918a0
15c9db,f9566b
00f668,b369d7
eebfb7,f61cfc
011674,831d6c
00f664,78ead4
011671,0b7a14
00f665,de12ca
011672,f1c182
a180fd,974808
011675,6734a9
011676,b24b75
e8d137,1f9e9d
934ad1,fc0e25
6a9d2b,0c437c
1922e8,02ddbc
d49e84,4854d0
0115b3,22f05b
0115b1,63f998
b164c7,0a7d8c
0115b2,757ce7
0115b8,ec381c
d322e6,1f0f3c
f865ee,4fa040
fef8e7,f9977a
0a9387,70a897
c73507,1ff3b4
e3915e,66bf83
dbf6aa,d4498c
c2444c,1ae1d2
979767,c04e02
b9057c,783a84
70145d,061d0e
2ca05a,8fbc54
5f1f56,269166
9a542a,20a7dd
aeef79,77b190
9a542b,0ad8f2
d74e51,ac69cb
8fb069,d7d75a
5ec9de,f32ce8
327bef,82e1b2
ff4e62,b563db
0115a7,875d13
0115a5,f236cb
0115a8,56e9ce
6a9e00,d017a3
9c9420,a7a2fb
da0c4d,1e1126
851c1b,e28452
34886b,f9c8a9
613958,f6ad79
dc16c9,a49a6c
b8e568,693bac
c48414,6a2376
a920bc,06ffbe
a6c0c6,a784f3
e3e13b,74eeeb
0115d1,52bd74
00f5c1,ede581
0ae33a,209bd9
d562cb,77347a
9066a0,fca8b1
c7350a,c84f6b
2ee062,a38f1a
00f5ad,c282ae
637957,95a7d2
6fdca3,1fb805
0115bd,48ecc1
af63bd,c8ef25
6721ca,86510c
e40139,f9528a
79d2ff,75ccf7
00f5b3,afce80
00f5b5,0cea3f
3efa7c,485661
00f5b6,63ffce
00f5b0,8c2ca7
00f5b1,2048ca
1a7961,4f0d13
0a936d,825d81
0115c4,4dfe33
0115c8,63c9c0
4e58a6,98e64e
21ee84,eab045
9aa421,d6de50
4564e9,f2d686
136dcf,ad33c9
be045e,e6a1aa
00f5a7,85c5bd
00f5a8,e65b61
06e060,975563
0115ae,8a938a
00f5a2,c10b5a
6f597e,fedaea
35812c,157ff7
eebee5,ed0d73
40fa54,db0104
299360,3ca5fe
a1822f,3c92b3
02106b,452b10
b1b4e9,0a9cb2
0d4310,de22af
c91ec2,e58b9d
da0c90,a988ed
35d129,cee125
f16b9e,b5058b
90ec04,f19b30
06065b,c29c4a
bba483,f92b68
a3384e,31958d
bf7dc3,05a717
a670aa,c004df
6bb31c,c607fb
4e8e63,74af45
8cab01,fbb003
31020d,aeb886
8fb078,787fd2
0d431c,8c58a1
0ae389,69b490
f3c747,1332c3
1f9d8f,ee5338
7b470c,8472d8
348825,fa97f4
24f2a1,59e1e0
5154ce,f05dfa
03a65c,d8b38b
647338,c4252d
b19a7b,6ca7e5
6b6376,e20a0f
792db4,9fa350
ba59a8,a06170
3a8006,565a0f
8fb06f,472983
82bc49,4c1e43
27a2b2,df03c7
9f444f,eb8ee4
a3389f,1919f3
35816b,e2a77f
aa7541,7b2b14
539550,ec7581
8c2695,ccf358
f37789,d47af4
d25e28,c3d89c
9b99a9,9049d8
1dad0e,7787aa
6cf959,073d0d
8ac059,5843a2
7b45ea,a3161b
faae25,007075
3ec66f,b6e285
3ec66a,9f7078
39778c,bdaba0
8a1b7b,44a737
bd93b1,c89059
badf65,148b84
11847e,c26262
39c744,542d83
a1d235,a1d53e
7159cf,db0e59
c9c510,7fc82c
7d85a5,ccf444
cdc888,500c7c
4324c0,f541dc
8d2040,dc1454
35d17f,57c210
167444,bfa7f3
383148,3435b7
11d452,d5d3c3
40c4f4,7f43ae
bd3f3a,76079e
696295,9a8e3c
2de672,fd1146
641d9c,ba8e06
00f5e3,67d71e
0115f4,7a10fd
7e8088,71ff79
0115f1,c5f74f
63fd8d,507087
1dad3e,22cde2
0115f5,cfe9f2
e1a136,4cd686
1d5d5e,d3fcb3
2908c4,0a1b57
00f5cd,63f385
00f5cf,cffffe
e33ad7,99ab86
3ad024,9a3dcf
92f6da,40288c
00f5cb,fde04d
b8e4af,92ff78
0115de,98b136
9796a7,472ad7
47f551,a95100
00f5d2,d0e6e3
00f5d4,22386a
06e003,c89a19
f8b5b1,a5c266
b6a4da,7df5f6
aac3ca,b7de98
0115e6,67120a
f3fb77,968d53
5d3542,84d0fd
b1661b,71fc07
0115e4,84fb31
74e424,ee7ab8
0115e8,7f0142
00f5bc,2b88f2
dfa0b1,73e35f
00f5be,63dafe
2b8b29,d180d6
0115cd,cce946
f865a9,f5dd17
0115ce,04622e
f865a7,67289b
0f2d85,9421ca
dfa0ae,7c30c1
990179,738ee1
0355d0,09dc96
0fd1c4,94dfb5
00f5ef,4b3d23
8570bf,0fde24
dbf839,cc941f
00f5eb,41aadc
00f5ed,5e8429
202474,afa4ee
bde49a,b5d77c
b6da39,05535d
07cfec,44a2d6
0115fe,5ab1ff
00f5ea,5cbf01
0115ff,18680c
8f600e,c620ee
474ef9,138237
00f5f9,ae0592
00f5f3,d92187
7ed098,67032a
87ac04,d47d9a
00f5f4,cbb56b
1089ca,32cce2
00f5f5,3d9cac
2f002c,48e803
00f5f6,e09b33
baa9ee,16e020
7d85d7,e0d70a
fd637b,e1a07a
84fc81,4b3c6b
1922ff,ca4629
00f5da,9a1c91
0115ef,8397d1
82382d,e012f1
4bf95e,4ea1be
d07281,2d0c7b
300912,fea5c6
05e3f7,eb9ff3
004ec2,1928e1
ea7b70,11c321
bd91db,71faf2
07cf79,0e7f9b
c2ca22,24bd2d
5c86ec,88eab5
004ebb,18a8ea
011505,4b1ad9
d0c24e,f18b43
011503,78a105
1578a5,f623eb
af6661,b8b9e5
ba591b,a88183
004eb7,a4291d
4d1314,352ce5
82bccd,dd382d
004eb1,4bc377
004eb2,09dd9a
582e73,629e5b
3737be,8a48d1
ecd5af,5e0fd6
bd91ed,e7e4df
1e2395,3722f0
6bb2f7,14ad97
b1678b,9df353
9a52d3,c42342
1e234d,d7b983
ec85d0,99e359
b19ae7,224d56
66abe2,50e3f1
bfcd74,312299
004edb,a29c28
8c2516,16eea0
00f517,adac01
3e1f20,950ccb
efbb07,22b9f6
00f512,ffed32
9c3e24,0e5695
00f514,538910
a43296,544583
011521,3b801f
a087e1,d55963
004ed7,c1a002
76cf32,0b94fe
004ed4,b4a816
00f508,efd8b8
875cb2,2b88f2
00f503,ff451b
f8eab1,593470
689be3,3f2e3a
a6c276,5efdbc
833316,988a49
004ecc,d60189
011511,da3d22
004ee2,296373
d56226,7d03e4
004ee0,3207fc
011515,7e28c9
011519,ee6c09
b8970f,317f40
cb6c36,1906f5
696279,e05917
e30708,14e4ff
78d9af,608512
69626a,1f2cb8
3e747c,4f42c0
e0a722,2acc5a
6e12a1,a81ebb
6b62f5,0960bb
0593ca,d02e4b
b1b78c,ad2108
0ed7a7,e296b2
4ea964,3a41d4
24f44a,ae905c
bb51bc,ca77f8
a6c217,ac074b
b6a722,933d06
a12d93,2b8394
ea7b41,177ba3
0f2d04,c1259b
8b5efb,480444
6df2a6,aa1b5d
6df2a1,54b921
71a9c7,5aa9ab
2ca0c2,6973f5
6d4e99,4fde87
10d8fc,bfce84
004ea6,568e51
004ea4,7ad34f
4ab349,0a546c
004ea3,cd8d4c
e05769,e5b39c
004ea0,facc57
7b47d4,83d73e
a67266,d3dc3f
d46866,06cd00
02df7e,0fc8b1
515440,099df1
2e3c4b,a7a989
5a46ca,f6a2e4
74e495,f2c92d
ef35fd,6e99ac
b20afe,369fc4
3581fd,bc96a9
8c2553,02e5e4
4a639c,312a60
d50ba9,7c203e
44212a,cd483b
851cad,7da891
5f7593,32e6e4
3977cc,64fa29
5a7c0b,4f9bba
3e748b,2de90c
c004f6,a324e3
665d05,a35e9f
49deea,f68fe4
3e748e,a160ac
251442,a26b93
55ce81,3cd683
de8bb4,b39c47
690bed,83a467
a6725f,44ab36
d98c72,b71970
1182a7,2b9e69
f2314e,85bd45
327d0f,2c223d
00f56c,d3a2a1
00f56f,35b7e4
25148b,33a7c7
b6dab7,7bd03f
cc30a6,b8b3d5
2a1282,261492
ae9fb0,ef2fb1
011585,860e70
97e4ea,58db32
6aee4a,08b160
d810b3,9d3fe3
011589,e528c3
011587,4caeb3
d9a6ce,c7e5aa
13be79,3cef9a
01157a,4d6b44
76cdeb,3be318
24f48f,35da27
1578fd,ee94f6
29943c,af8f64
00f55d,094a92
01156a,eb0cc7
da0d05,6047ac
01156e,7876ff
1daca0,8a8c55
ef6b8d,ea2aae
00f569,c77082
011580,be5229
035563,1ccc41
011574,923f02
00f565,41efe7
5152b2,ef1116
533e64,83bf50
011576,1e2098
9eccf4,36579b
4ea991,7cd330
533e4f,36487e
7d8863,97938d
bd3cb8,b29e23
9eccf9,ba0ee8
00f54f,bd09ce
dedbad,ed78ea
01159f,b6bb21
01159d,6d414b
407779,1ef44e
665bc2,f8b0c1
ae9fbe,1a5080
053eb3,f47c60
7743aa,1a4786
00f58c,158324
407778,6a9aea
21ef30,fae2c8
5308cd,0085fd
00f597,d42849
00f593,3d910d
00f594,b80abd
21b9d7,cf085f
00f57e,5183b4
01158c,fdb4ac
01158d,6d7991
665bb1,a03dd9
00f57b,75ad03
63c891,b3d27d
e305ab,93971e
b4f11a,b9f715
badcc1,e1a266
00f585,259e83
00f587,156177
00f588,0e812a
00f581,e240fe
161e79,a2159b
bc9974,a737ce
00f584,4049e6
8d9f94,2bb034
035549,b13f53
a85d28,f6fe48
00f580,fa32f0
a85d27,ba7f93
00f52a,6cdaca
27549f,71ca8c
90668b,6a2376
01153d,6c0908
0ed893,84899d
028ed8,7e717f
616d5f,8397b4
00f538,f1f4ec
01153f,b96f79
05e3b8,1882bc
011541,c69a23
00f531,aa45d1
011542,c2ebb2
1d299d,3e719b
011540,ecfbc3
011545,de17d2
011544,1f20e2
a61d06,c16f7f
00f51f,1b5cd0
13be31,e1a6b5
a0894c,7569ec
94dfc1,710095
6b0e31,2bc3dc
82be37,fead17
2d9855,8446a6
2f00c5,3dd9cb
1f9cd7,af482f
1578bc,d11b1e
01152c,b921d2
f47160,bc5611
004eeb,ce089e
01152e,87c272
1d5ce7,d9dc37
82be1f,ea663e
00f525,66900b
00f526,cc81d9
011530,19f337
011531,f5e1fd
011532,9c4028
d0c206,030d84
00f50e,276d63
00f50f,896113
00f50a,3e3258
c4856c,aa50c6
eb405e,819ef7
00f50d,41f35e
00f54c,08d90b
01155a,931a77
4cf391,738cd7
00f552,692a5e
00f554,ed7152
011568,16245b
011566,2da730
baa94c,c6d544
c24599,a03384
948feb,dfd907
d2283b,6a3309
89693b,fc846c
2b5875,9b1902
ba8cad,4def91
00f53b,71547c
00f53c,a5e14a
72a3d7,43bcf1
00f545,53e063
011553,53ea7f
00f543,ee4f36
011550,b4bceb
3c33e6,0c4c68
1d5ced,c1d4ec
e0db6c,1015f8
011558,28a1d1
00f52d,ef50a1
bd0913,f1587b
00f52f,204c32
8eb59f,d7c7f8
b4f08c,0c3c53
43ab73,4693cb
f37826,c3ca27
a921d2,bc0a94
973fe5,70214b
2263e2,2a54eb
b5109b,d24a17
c48545,4bb462
de57ad,9e6cfa
112cb8,788873
9be93b,86f549
fdb3b4,c5e1cf
9a5327,6e15d9
0c4896,3aa2c5
f3c817,31ffde
0e8884,0291fe
72a553,5d8c73
875d08,1b0b27
21ef80,051474
157906,2bc32f
1671ed,82e5c3
9be94c,e5b557
84c7e8,054e54
dc17e5,3d63d0
92f678,cf08c7
0114b0,884ed9
00f4a0,bc6df7
c42ebd,50bde5
00f4a1,1a7a0f
268f0f,ee87b0
4c4d19,741a44
b3f5b9,5ff914
10d92d,5c5558
d071f9,451f0a
94dfe4,091a70
72556d,27afc8
0114a3,c0f48e
0114a1,d18922
0114a2,3f271c
0114a7,719bc2
53e460,be5e60
61bba1,c4fa1e
0e889c,0bd271
95a634,734d32
0114a9,223f18
3bbecf,efd066
0e888c,b5eb57
5299a5,f72779
8c24a9,85bcc9
689c9a,3b2de8
adaa83,21001b
32499a,3da17b
f41ba8,5a8c9a
2de6a4,380120
e78687,36d4ea
63c849,8cb871
ef365f,d77db5
411b90,9224dd
00f59c,4dfe3a
a671cd,0dc5b3
f3c854,464e8c
8331dd,8d8e16
c6bdc4,1cc4d9
dbf7fb,19267f
bf7ca7,f7e0c5
798503,0117d4
cb373f,d2c3a0
8caa16,30de41
89ebbe,ae5503
afea1d,aa2eb0
ecd703,4ffd0c
7e2c7e,c52416
299497,808eee
4ab1b6,a018a9
50df2f,b280dc
d2ad3f,04520c
ac5fb9,5251aa
348949,c91314
70155e,e56caf
aa74e5,de637a
d49d39,03fe33
d0c1ea,be1810
8c24f2,df0954
a1d301,49301c
e3e058,446806
309365,ff7be1
e6400a,389748
c91db6,6bf549
84c7c6,326159
cdfb62,1986c8
71deaf,5f4175
c73451,63f03f
51a448,920be7
bd3e47,7eb161
7a00c9,6407be
69618e,67b8e1
d01d3a,033ddd
26df8f,8be5cc
9f4331,9c64bd
00f4ec,223706
e23fcf,2e0fed
0114fe,90a5c0
f9619f,516d20
1b72ad,00aab0
51544c,406e3d
9c9377,2ef071
7c40a1,02c135
00f4f5,111737
2993d6,b3fb9e
9e7ce7,86093c
4cf1dd,79f8f2
ff4f02,7a41c4
9f4321,77d39c
0114eb,c2fbef
310324,967ae3
383241,7bd086
6b642a,330869
f3c6ff,f2fad0
a5c993,3a88c4
990002,8b8b7e
2e06c0,68f41e
0a0841,9415fa
edd087,d5140e
7b7c56,a3ab14
979694,d9ebd9
dc190d,14cdc2
00f4fc,6b3673
411b6c,2a7071
6b644c,839291
94109e,186dbf
6b644d,953822
6a9dad,118542
2b56dd,bf75ca
910b69,012b9f
0114d1,c0cb6b
46603a,14653c
9315e6,b116f1
0114d7,ddba76
d50bec,f49c75
f23226,ab473d
910b60,02879f
0114d9,e1c26e
00f4ac,7efe87
9e495f,3d3cd8
00f4af,3eded0
767ef7,8470ab
352d29,e1ff66
f720a0,c26134
0114bd,1a0da0
9a5361,910e34
d98ba9,4bb6bc
9a5362,dec429
0114bc,e114c6
826cd4,db9ab3
00f4b5,debfa2
0a922b,20d548
c42f98,f3021e
0114c2,9a425e
00f4b3,b3c6fe
303ca7,2d31da
07ced4,8f7667
a12e1e,ea8266
f866be,5f5011
80d328,9e32ca
ab1a66,5a64b7
0d40de,e9ccb9
0114ab,c4cb6e
00f4a8,1136c3
00f4a9,953c53
0114ae,2702a1
0114af,304326
51a497,0e559f
f89c16,43c2ca
00f4a6,bf2163
540446,d5faf6
0114f2,a209fa
f4c0cc,8292c9
00f4e6,9e1932
0114f3,39a0ad
85c1bc,1e6ec3
d227cd,cce2a2
d227cf,d60c43
4f51e3,136731
00f4ca,5bc604
00f4cb,a81205
0114dc,9dad44
faaf18,3c067f
6b0dd8,99e53c
0114dd,4df748
1fb8d8,b7488d
0114de,570a5a
f866f9,b9aaac
c42f91,b7b68d
934b4c,2beaea
0114e4,c77f63
c9c440,dc561e
0114e8,f57e7f
85c1b7,6253cf
0114e9,f630f3
4edd77,ef626b
f16bbb,695226
97e69a,9e3a2b
00f4be,9e98a9
5f1fe2,74a900
9315ed,5d28c1
5d367b,d44d89
0114cd,1cd7b4
00f4c9,8c7865
f9b20e,1609cf
958d82,d4cbe8
f9b20b,f8cfe4
087c88,1f1eb9
e0da80,5ad49b
00f856,398e95
0dca49,6434db
9a55fb,306a46
bde0b0,ae2160
00f850,ab7ca2
035832,682574
011862,4725bc
011869,e9a22a
5f7669,9ed895
011867,48cf66
00f83b,01f7d9
1d2685,a34cfa
f6abed,365741
216781,f9895e
3bbe11,4b33a7
7504b4,911a5a
689ae9,1bb7d0
01184d,66d648
b10de1,bafbe6
00f849,969f75
01184e,a902f9
00f844,f282e0
6fdf5e,a72057
c8fbf9,1685e3
6fdf5f,8253ba
011850,c76440
6a9ea6,e6af26
011852,40b2a8
dbf94d,ea1463
00f82f,706f43
85c416,18ebd7
011856,43a686
00f82a,bb3a8e
00f82c,6bb913
23f704,6c70ec
01187c,fc82a6
01187d,6fd1e3
4c182f,00d7b9
00f875,3d15b2
00f876,50494f
011890,24d565
39c586,bd8109
011882,8b107b
011883,741c2b
82bde3,98052f
b34dc9,724bb2
011884,1d4b85
00f870,8f40f0
66aac7,f2c3e5
fe602e,448e14
0940e8,dce662
24170b,d3180a
00f85c,c024cb
e544d1,3ba319
ef6c58,a1a800
00f85a,8240db
01186d,214f98
983d15,65e520
f3fd10,f17825
bba0c8,140fca
01186f,bcd4d0
00f865,7cb4c8
4bf842,baed42
910ca4,784863
00f860,924c9b
1f663d,b84d3c
9e009e,1242a7
c66d1a,6bfcf3
011874,b787e5
5fc647,4233d1
ae698c,8bd7ce
875dbb,019940
dd1312,cc616d
da6393,418f9d
cfafe8,8741ff
4c4be1,ace5a5
afb331,a712cf
1bc080,9c4690
90b958,6d566d
00f813,c86b43
00f816,6f809a
00f810,1598ca
21b78a,59792a
00f812,6405b0
dab36a,c27261
529955,82821d
3244b6,27ff9f
d4670a,4bde09
de8ce0,c16fb3
f3c7d4,c5ff13
011829,3c880f
00f808,7328fc
6fdf36,48e041
00f803,5c3c07
01180c,d59721
8cabb1,c2c076
00f805,aa04e8
00f801,50ae01
01180e,eb2af1
af0ce6,bee6c8
90b94f,aaba3e
fd6656,561552
011813,69ac7b
61bc44,585699
084812,bcb050
22b12a,cb092a
774593,de12c3
f41d57,5d9648
00f839,283176
01183a,995f2a
01183b,90b858
42addf,763c71
96a1b8,46cbaf
01183f,7311bf
01183c,ca8c6e
00f831,58d2fe
00f832,2ea303
4a6281,7a7cfd
8e6885,9ca585
62313d,f93731
011840,b7bdb3
00f81d,0fbefa
909cdb,315ebe
1fb655,fc3837
3ec337,4893a2
7b7e54,634fd4
00f828,e7454b
68b780,874931
0a9615,a6d0a5
00f824,6a3350
47f2f2,3bbf08
401f00,1a6cf1
00f825,814a74
67216d,f2a245
00f826,fc6863
01182c,440d13
08482a,618a99
68b76e,eae283
00f822,89d5a6
b1648b,c51e76
24175a,d4e3cb
00f80f,e79608
2f7ea2,0a9018
011834,da5ee0
b1648e,7f26e6
00f80a,0428a7
011838,645ac4
647104,d744bf
f47230,2ec213
934cab,9fc268
a0d4ee,6a3350
d9a5c7,e7fb82
352a6e,cc4a56
91b322,0bc0c2
98e1f5,4be887
118711,6968f6
3bbe83,7a3dd2
6d19f7,105a19
f3fbd1,131c20
647116,6b1918
c48257,8d8a9f
498e70,e7cee1
